"Identyfikator Produktu Leczniczego";"Nazwa Produktu Leczniczego";"Nazwa powszechnie stosowana";"Rodzaj preparatu";"Zakaz stosowania u zwierząt";"Nazwa poprzednia produktu";"Droga podania - Gatunek - Tkanka - Okres karencji";"Moc";"Postać farmaceutyczna";"Typ procedury";"Numer pozwolenia";"Ważność pozwolenia";"Kod ATC";"Podmiot odpowiedzialny";"Opakowanie";"Substancja czynna";"Nazwa wytwórcy";"Kraj wytwórcy";"Nazwa importera";"Kraj importera";"Nazwa wytwórcy/importera";"Kraj wytwórcy/importera";"Podmiot odpowiedzialny w kraju eksportu";"Kraj eksportu";"Podstawa prawna wniosku";"Ulotka";"Charakterystyka";"Etykieto-ulotka";"Ulotka importu równoległego";"Etykieto-ulotka importu równoległego";"Oznakowanie opakowań importu równoległego";"Narzędzia edukacyjne dla osoby wykonującej zawód medyczny";"Narzędzia edukacyjne dla pacjenta"
"100000014";"Zoledronic acid Fresenius Kabi";"Acidum zoledronicum";"Ludzki";"";"";"dożylna";"4 mg/5 ml";"Koncentrat do sporządzania roztworu do infuzji";"DCP";"20708";"Bezterminowe";"M05BA08";"Fresenius Kabi Polska Sp. z o.o.";"05909991023652 ¦ Rpz ¦ 2
1 fiol. 5 ml
05909991023669 ¦ Rpz ¦ 3
4 fiol. 5 ml
05909991023676 ¦ Rpz ¦ 4
10 fiol. 5 ml";"Acidum zoledronicum 4 mg/5 ml";"Fresenius Kabi Austria GmbH";"Austria";"";"";"Fresenius Kabi Austria GmbH";"Austria";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/1/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/1/characteristic";"";"";"";"";"";""
"100000020";"Edelan";"Mometasoni furoas";"Ludzki";"";"";"na skórę";"1 mg/g";"Krem";"NAR";"20899";"Bezterminowe";"D07AC13";"Zakłady Farmaceutyczne POLPHARMA S.A.";"05909991023683 ¦ Rp ¦ 5
1 tuba 15 g
05909991023690 ¦ Rp ¦ 6
1 tuba 30 g";"Mometasoni furoas 1 mg/g";"Glenmark Pharmaceuticals s.r.o.";"Czechy";"Glenmark Pharmaceuticals s.r.o.";"Czechy";"Glenmark Pharmaceuticals s.r.o.";"Czechy";"";"";"art. 15 ust. 12";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/2/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/2/characteristic";"";"";"";"";"";""
"100000037";"Nalgesin";"Naproxenum natricum";"Ludzki";"";"";"doustna";"275 mg";"Tabletki powlekane";"DCP";"20696";"Bezterminowe";"M01AE02";"Krka, d.d., Novo mesto";"05909991023744 ¦ Rp ¦ 8
10 tabl.
05909991023751 ¦ Rp ¦ 9
20 tabl.
05909991023768 ¦ Rp ¦ 10
30 tabl.
05909991023775 ¦ Rp ¦ 11
60 tabl.
05909991066178 ¦ Rp ¦ 84656
40 tabl.";"Naproxenum natricum 275 mg";"Krka, d.d., Novo mesto";"Słowenia";"";"";"Krka, d.d., Novo mesto";"Słowenia";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/3/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/3/characteristic";"";"";"";"";"";""
"100000043";"Nalgesin Forte";"Naproxenum natricum";"Ludzki";"";"";"doustna";"550 mg";"Tabletki powlekane";"DCP";"20697";"Bezterminowe";"M01AE02";"Krka, d.d., Novo mesto";"05909991023782 ¦ Rp ¦ 12
10 tabl.
05909991023799 ¦ Rp ¦ 13
20 tabl.
05909991023805 ¦ Rp ¦ 14
30 tabl.
05909991023829 ¦ Rp ¦ 15
50 tabl.
05909991023836 ¦ Rp ¦ 16
60 tabl.
05909991066185 ¦ Rp ¦ 84657
40 tabl.";"Naproxenum natricum 550 mg";"Krka, d.d., Novo mesto";"Słowenia";"";"";"Krka, d.d., Novo mesto";"Słowenia";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/4/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/4/characteristic";"";"";"";"";"";""
"100000095";"Amlozek";"Amlodipinum";"Ludzki";"";"";"doustna";"10 mg";"Tabletki";"NAR";"07998";"Bezterminowe";"C08CA01";"Adamed Pharma S.A.";"05909990799817 ¦ Rp ¦ 22
30 tabl.
05909990072866 ¦ Rp ¦ 37882
60 tabl.";"Amlodipini besilas 10 mg";"Adamed Pharma S.A.";"Polska";"";"";"Adamed Pharma S.A.";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/9/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/9/characteristic";"";"";"";"";"";""
"100000126";"Proxacin 1%";"Ciprofloxacinum";"Ludzki";"";"";"dożylna";"10 mg/ml";"Koncentrat do sporządzania roztworu do infuzji";"NAR";"08055";"Bezterminowe";"J01MA02";"Zentiva, k.s.";"05909990805518 ¦ Rp ¦ 25
10 amp. 10 ml
05909990805617 ¦ Rp ¦ 38268
5 fiol. 20 ml
05909990805624 ¦ Rp ¦ 38269
10 fiol. 20 ml";"Ciprofloxacinum 100 mg";"";"";"";"";"Zakłady Farmaceutyczne POLPHARMA S.A.";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/12/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/12/characteristic";"";"";"";"";"";""
"100000250";"Aprovel";"Irbesartanum";"Ludzki";"";"";"doustna";"150 mg";"Tabletki";"CEN";"";"";"C09CA04";"Sanofi Winthrop Industrie";"05909990782512 ¦ Rp ¦ EU/1/97/046/004 ¦ 54
28 tabl.
05909990782529 ¦ Rp ¦ EU/1/97/046/005 ¦ 55
56 tabl. w blistrze
05909990782536 ¦ Rp ¦ EU/1/97/046/006 ¦ 56
98 tabl.
05909990782543 ¦ Rp ¦ EU/1/97/046/011 ¦ 20899
14 tabl.
05909990430178 ¦ Rp ¦ EU/1/97/046/014 ¦ 31950
56 tabl. w blistrze perforowanym";"Irbesartanum 150 mg";"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis S.A.";"Francja
Francja
Hiszpania";"";"";"Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis S.A.";"Francja
Francja
Hiszpania";"";"";"";"";"";"";"";"";"";"";""
"100000296";"Twinrix Adult";"Vaccinum hepatitidis A inactivatum et hepatitidis B (ADNr)  adsorbatum";"Ludzki";"";"";"domięśniowa";"";"Zawiesina do wstrzykiwań";"CEN";"";"";"J07BC20";"GlaxoSmithKline Biologicals S.A.";"05909990794812 ¦ Rp ¦ Skasowane ¦ 58
1 fiol. 1 ml
05909990794829 ¦ Rp ¦ Skasowane ¦ 59
10 fiol. 1 ml
05909990794836 ¦ Rp ¦ Skasowane ¦ 61
25 fiol. 1 ml
05909990794843 ¦ Rp ¦ EU/1/96/020/007 ¦ 62
1 amp.-strzyk. 1 ml ¦ 1 igła 
¦ UR/Z/4c/204/24 - 05050459002044 ¦ UR/Z/4c/002/25 - 05050459002044
05909990794850 ¦ Rp ¦ EU/1/96/020/008 ¦ 63
10 amp.-strzyk. 1 ml ¦ 1 igła 
05909990794867 ¦ Rp ¦ EU/1/96/020/009 ¦ 64
25 amp.-strzyk. 1 ml ¦ 1 igła 
05909990794874 ¦ Rp ¦ EU/1/96/020/001 ¦ 65
1 amp.-strzyk. 1 ml bez igły
05909990794881 ¦ Rp ¦ EU/1/96/020/002 ¦ 66
10 amp.-strzyk. 1 ml bez igły
05909990794898 ¦ Rp ¦ EU/1/96/020/003 ¦ 67
25 amp.-strzyk. 1 ml bez igły";"Vaccinum Hepatits A+B 1 ml (1 dawka)";"GlaxoSmithKline Biologicals S.A.";"Belgia";"";"";"GlaxoSmithKline Biologicals S.A.";"Belgia";"";"";"";"";"";"";"";"";"";"";""
"100000310";"AmBisome liposomal";"Amphotericinum B";"Ludzki";"";"";"dożylna";"50 mg";"Proszek do sporządzania dyspersji do infuzji";"NAR";"08000";"Bezterminowe";"J02AA01";"Gilead Sciences Ireland UC";"05909990800018 ¦ Rp ¦ 70
10 fiol. 50 mg + filtr membranowy
05909990800025 ¦ Rp ¦ 13146
1 fiol. 50 mg + filtr membranowy";"Amphotericinum B 50 mg";"Gilead Sciences Ireland UC";"Irlandia";"";"";"Gilead Sciences Ireland UC";"Irlandia";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/31/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/31/characteristic";"";"";"";"";"";""
"100000356";"Indapen SR";"Indapamidum";"Ludzki";"";"";"doustna";"1,5 mg";"Tabletki o przedłużonym uwalnianiu";"NAR";"14890";"Bezterminowe";"C03BA11";"Zakłady Farmaceutyczne POLPHARMA S.A.";"05909990665891 ¦ Rp ¦ 14522
28 tabl.
05909990665907 ¦ Rp ¦ 29048
30 tabl.
05909990665938 ¦ Rp ¦ 29049
56 tabl.
05909990665945 ¦ Rp ¦ 29050
60 tabl.";"Indapamidum 1.54 mg";"Zakłady Farmaceutyczne POLPHARMA S.A.";"Polska";"";"";"Zakłady Farmaceutyczne POLPHARMA S.A.";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/35/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/35/characteristic";"";"";"";"";"";""
